source_id,phot_g_mean_mag,x  (pc),y (pc),z (pc),dx/dt (pc/1000 years),dy/dt (pc/1000 years),dz/dy (pc/1000 years)
2458611079349500,11.57574107,394.690311,450.506623,38.58228966,0.136807835,0.110471543,-0.001197201
2472354974276600,10.50675943,77.84190289,87.6080685,7.17049673,0.001333996,0.095435466,-0.041897027
2477405855815160,9.787370115,77.95742684,87.25194256,7.330753591,0.001362382,-0.047728495,-0.01345092
2478917684301690,9.023077803,72.32641257,81.39595396,6.924028012,0.032179648,0.037809894,-0.00071697
2482044420495740,12.30759928,331.4216336,367.4738862,30.52093681,-0.061291404,-0.006109994,-0.082466047
2484690120348280,11.7951573,286.2891582,318.3505226,27.0801464,0.008744949,0.061926456,0.028249171
2498434016119420,11.15065805,111.3070306,125.7191934,10.60799656,0.047673795,0.125635839,0.057004578
2517228792579070,9.489416965,42.49138907,47.70445918,4.265803809,-0.052066959,0.068130765,-0.06862142
2519805773378680,11.59584697,169.0200878,190.4372495,17.4294145,-0.124313919,-0.15285749,-0.010083277
2526746440528120,11.5944598,243.0195661,275.5570907,25.50970808,0.10994115,0.15740776,-0.027406434
2532415797356160,11.37324401,166.4555056,188.1325738,18.07543125,0.107347223,0.140813852,-0.01458516
2534614820695160,11.29127584,265.163264,285.2451255,20.9280709,-0.103062859,0.057843923,-0.011400456
2536882563032830,11.74847426,1778.503113,1916.214971,143.2302134,0.051878905,0.085090233,0.003860978
2543857589814010,8.127983597,166.6818861,180.6987768,13.92839622,-0.133964145,-0.117181236,-0.00734825
2546331490976120,11.79019786,455.279347,494.6266271,39.16821599,0.031588242,-0.020950137,-0.037527822
2548839751983480,11.75296848,349.9643646,379.4372284,29.94148008,-0.018919851,0.076192333,-0.044400699
2549011550675200,10.60490387,442.360526,478.4514741,37.82428672,0.066009409,0.095737564,-0.01937552
2550523379162110,10.40443674,157.7933392,170.946772,13.8039281,-0.157214894,-0.130655208,-0.01679786
2554302950778750,9.098233508,110.9789294,119.0142212,9.293621442,0.022252496,0.045135839,-0.005543174
2559491271271290,11.60526655,301.629677,322.4602376,26.28286383,-0.109221671,-0.118123122,-0.121498384
2559559990352250,8.000335896,246.8508003,264.2631183,21.56034475,0.131021708,0.147895991,0.011811552
2603471735978750,12.03875893,268.5324021,292.4960317,26.7540182,-0.014143074,0.005213537,-0.018384866
2604433809056890,10.80384623,761.5635797,811.4070594,65.51236233,0.072500124,0.113859036,-0.006465943
2606426673881720,9.551210688,325.8518204,348.1269848,28.45165369,0.113018971,0.153622793,0.002350314
2622747549605500,11.31300244,416.4643949,439.3838476,37.19880149,0.076644814,0.037554051,-0.017261727
2635941689137020,10.86731378,140.4376368,148.6456759,13.35053061,-0.108577657,-0.111120593,-0.035953911
2643329032489210,12.72654154,265.0086381,284.3350909,25.04732997,-0.206023165,-0.067372408,-0.092098737
2662295608063870,11.12080456,122.1327912,129.9672897,12.12257632,-0.079682289,-0.108292816,-0.032715563
2679715995330560,11.74124997,266.7242341,293.0551979,25.84280549,-0.064881805,-0.115334763,-0.04555352
2684320200270720,11.32482533,300.9599213,333.6426574,30.01870639,-0.033931987,-0.052002774,-0.018189066
2691089068726140,10.19353537,63.31655445,70.30161039,6.576625552,0.116111878,0.146876345,0.012195051
2691260867417720,11.85006748,514.538429,571.3354719,53.68279827,-0.090433882,-0.090432752,-0.031845423
2691741903758970,11.14741984,366.10455,401.9079438,35.73745073,0.011386351,0.073377518,-0.0034173
2691879342987900,11.6545612,296.1453669,324.5084783,28.92385034,-0.058248069,-0.053810949,0.018192264
2710467961166330,9.218122092,236.7400768,264.3297856,24.57097869,-0.01850183,0.045527437,-0.000355309
2710708479334780,9.784288212,69.50506805,77.50138689,7.214744501,0.048190646,0.005988296,-0.013438278
2713113661018360,10.70119685,350.6111003,392.6521348,37.32243028,0.015385319,-0.00509229,-0.005039686
2721291278994170,10.29210649,108.7943843,122.4610193,11.91482416,-0.01281443,0.055997924,0.048952862
2736169045460480,9.335692957,165.3715877,185.0396251,18.37603583,-0.14131265,-0.088675137,-0.021912006
2739708098511740,11.09643664,368.200547,412.2225337,42.10276169,0.012954107,0.044967335,-0.045533115
2747576478880510,11.23680186,1021.519781,1118.430429,107.2579525,0.0257458,-0.271935553,-0.211580372
2761079856056320,9.039962162,73.63221088,80.65609709,8.13144398,-0.140192951,-0.142403449,-0.017000674
2769772869852540,11.4148531,289.0996741,312.6047312,31.6118705,0.094774962,0.121000367,0.002762462
2770150826974460,10.95895541,254.2608738,274.8670949,27.92999215,0.044312061,0.075928132,-0.028733185
2773724239773950,10.66081503,501.8126394,549.6722403,56.38933657,0.063623356,0.176412962,-0.010535823
2777847408368000,11.51682524,411.4551138,448.1622818,46.72371348,-0.017768661,0.004990183,0.000765381
2787674293549690,11.86049557,248.7325319,274.1094164,28.57956635,0.042185851,0.101474935,-0.042024648
2792106699796730,10.559286,86.26047337,95.97497064,10.15533317,0.07684832,0.116103815,-0.025997027
2797398099508480,11.64072019,554.5813287,608.4441553,63.00979641,0.14137174,0.134041143,-0.004520589
2823752018602240,10.82275277,221.586941,258.6462731,22.43351366,0.072261065,0.089807644,0.016873769
2864193430652920,8.756137648,70.57607186,83.24841122,8.033185475,0.015035021,0.022117038,0.012008668
