absolute_g_mag,bp-rp,mass
0.246,-0.194,2.302
0.253,-0.195,2.302
0.291,-0.195,2.29
0.292,-0.196,2.296
0.274,-0.197,2.308
0.267,-0.198,2.313
0.165,-0.206,2.387
0.056,-0.213,2.465
-0.048,-0.22,2.539
-0.147,-0.228,2.609
-0.242,-0.234,2.677
-0.333,-0.24,2.74
-0.422,-0.246,2.801
-0.506,-0.251,2.859
-0.585,-0.256,2.916
-0.665,-0.261,2.969
-0.743,-0.266,3.02
-0.815,-0.27,3.071
-0.887,-0.274,3.118
-1.093,-0.284,3.252
-1.178,-0.289,3.307
-1.398,-0.3,3.45
-1.669,-0.311,3.62
-1.915,-0.321,3.771
-2.074,-0.329,3.867
-2.136,-0.332,3.905
-2.339,-0.34,4.026
-2.498,-0.35,4.098
-2.78,-0.358,4.235
-3.063,-0.367,4.411
-3.307,-0.375,4.562
-3.536,-0.378,4.693
-3.604,-0.38,4.732
-3.879,-0.385,4.893
-3.909,-0.385,4.91
-3.928,-0.385,4.921
-4.184,-0.389,5.068
-4.212,-0.388,5.084
-4.345,-0.39,5.159
-4.541,-0.394,5.265
-4.643,-0.396,5.319
-4.722,-0.397,5.359
-4.905,-0.398,5.45
-4.977,-0.399,5.484
-5.145,-0.399,5.559
-5.245,-0.399,5.602
-5.367,-0.4,5.653
-5.577,-0.4,5.735
-5.78,-0.399,5.806
-5.844,-0.398,5.827
-5.978,-0.397,5.869
-6.07,-0.396,5.896
-6.185,-0.395,5.928
-6.208,-0.395,5.934
-6.523,-0.389,6.009
-6.61,-0.387,6.028
-6.928,-0.383,6.092
-7.046,-0.381,6.116
-7.215,-0.377,6.155
-7.326,-0.376,6.191
-7.331,-0.376,6.193
-7.444,-0.378,6.25
-7.521,-0.379,6.297
-7.543,-0.38,6.312
-7.536,-0.384,6.347
-7.463,-0.39,6.404
-15.181,-2.994,6.445
-15.633,-3.498,6.494
-15.673,-3.604,6.482
-15.612,-3.739,6.422
-15.554,-3.741,6.398
-15.462,-3.745,6.36
-15.429,-3.747,6.346
-15.364,-3.751,6.32
-15.308,-3.754,6.296
-15.227,-3.756,6.263
-15.119,-3.76,6.219
-15.024,-3.767,6.178
-14.933,-3.78,6.138
-14.86,-3.799,6.102
-14.807,-3.828,6.073
-14.784,-3.862,6.054
-14.787,-3.908,6.042
-15.27,-4.586,6.06
-15.849,-5.411,6.074
-15.826,-5.483,6.033
-15.662,-5.487,5.997
-15.552,-5.469,5.958
-15.462,-5.46,5.924
-15.428,-5.478,5.905
-15.451,-5.538,5.899
-15.495,-5.598,5.901
-15.95,-6.094,5.954
-16.303,-6.423,6.009
