absolute_g_mag,bp-rp,mass
-5.187,-0.334,5.072
-5.174,-0.335,5.073
-5.209,-0.33,5.065
-5.254,-0.326,5.063
-5.299,-0.323,5.062
-5.352,-0.32,5.063
-5.407,-0.316,5.064
-5.469,-0.312,5.065
-5.539,-0.307,5.067
-5.599,-0.303,5.068
-5.663,-0.299,5.069
-5.731,-0.294,5.07
-5.785,-0.291,5.071
-5.844,-0.287,5.072
-5.908,-0.28,5.072
-5.989,-0.27,5.073
-6.063,-0.264,5.073
-6.132,-0.259,5.073
-6.202,-0.256,5.073
-6.252,-0.252,5.073
-6.303,-0.248,5.072
-6.358,-0.245,5.072
-6.416,-0.241,5.071
-6.477,-0.236,5.071
-6.544,-0.23,5.07
-6.615,-0.224,5.069
-6.698,-0.212,5.068
-6.79,-0.197,5.066
-6.84,-0.189,5.065
-6.895,-0.19,5.064
-6.954,-0.19,5.063
-7.025,-0.188,5.062
-7.107,-0.181,5.06
-7.205,-0.167,5.058
-7.321,-0.147,5.056
-7.456,-0.133,5.054
-7.612,-0.116,5.051
-7.791,-0.086,5.048
-7.972,-0.015,5.044
-8.049,0.018,5.042
-8.084,0.022,5.041
-8.132,0.08,5.039
-8.169,0.105,5.037
-8.21,0.151,5.033
-8.259,0.24,5.029
-8.309,0.367,5.023
-8.351,0.535,5.013
-8.379,0.75,5.004
-8.348,1.208,4.977
-8.303,1.429,4.964
-8.257,1.69,4.955
-8.231,1.905,4.956
-8.204,2.063,4.957
-8.14,2.322,4.958
-8.126,2.661,5.075
-8.117,2.666,5.066
-8.095,2.673,5.046
-8.1,2.68,5.041
-8.101,2.679,5.041
-8.176,2.691,5.071
-8.179,2.691,5.073
-8.199,2.689,5.086
-8.225,2.687,5.104
-8.252,2.683,5.124
-8.287,2.665,5.152
-8.297,2.653,5.162
-8.312,2.635,5.175
-8.35,2.593,5.21
-8.382,2.565,5.235
-8.418,2.48,5.28
-8.44,2.418,5.31
-8.469,2.345,5.346
-8.473,2.334,5.351
