Gaia_Source_ID,Name
6055854551117476480,HD_114082
6186776492967556480,HR_4978
5869404140942539008,HD_115361
6061991269115435136,HD_115600
6083262244920009088,HD_115820
1565867461768654208,HD_116956
5868420151105341568,TYC8995-2386-1
1663104284399348992,HD_117376
6084120933444617216,HD_117484
5869888445817908992,TYC8991-3324-1
6188121195688828032,HD_117716
6087637068551279360,HD_117665
6112762829087987712,CD-40_8031
6108418181912503168,HD_118588
6164998500516764160,HD_118972
3613527479874952320,TYC5549-1004-1
6070549833223189632,HD_119511
5865593822062087168,HD_119718
6093660880442332928,HD_120326
6171969129358847744,HD_120534
5785159323802720512,HD_120160
6090407803495351296,HD_121189
1251629409372044032,HD_121812
6095178206488363264,HD_121617
1454450340753382272,HD_122652
6090684674269292800,HD_122705
6121019753393326336,HD_123889
6269944102249012096,HD_124718
5896929521189417216,HD_124619
1505311442256006912,lam_Boo
6117782859888638464,HD_125283
6103740000452634112,HD_125541
6092860092382069248,HD_126062
6092201450556437632,CD-46_9327
1605198298364601088,HD_128165
1284257623084916480,sig_Boo
6104959942962995840,HR_5449
5894194318558985984,TYC8683-242-1
6102199477284607872,HD_129590
5874349611165944832,TYC9011-3733-1
6229423284834725504,HD_130693
6204869575281051776,HD_131625
1592338513445876608,HD_132254
6202242567124829312,HD_131835
6332277920392457472,del_Lib
1186939608392079104,HD_132950
6205597451979686528,HD_133075
6212050520082538880,HD_133803
6207388934376629504,HD_134888
6005159540254823808,TYC7826-2474-1
4419140645978987904,HD_135599
6199818655082933504,HD_135953
6213115122214516608,HD_136246
6007352550557348352,HD_136482
6013716695655007488,HD_137119
6208562250724337152,HD_138296
1274286186493145728,tet_CrB
5827646171142817408,TYC9022-1316-1
6237729751586459392,HD_138813
6015986534331026048,HR_5790
5819811291755502976,HR_5792
4429351054552356608,HR_5859
6011549008483608192,HD_140840
6011475994038502912,TYC7340-321-1
5989693603556613376,HD_141011
6239889329863051392,HD_141227
4402445936305708416,HD_141378
6015150424462395648,TYC7332-2514-1
1372702716380418688,kap_CrB
5995577807512547712,HD_141943
6237015550067390592,V1040_Sco
1373540063204595328,lam_CrB
6010483822238426240,HD_142446
6243485282644929408,2MASS_J15570641-2206060
6248435902467580416,2MASS_J15584772-1757595
6011053953378953472,HD_143538
6011074324396444800,HD_143675
6243989301345820544,TYC6212-349-1
6242094640953591808,HD_144587
6242050415668507392,HD_144729
5997490206145065088,TYC7851-810-1
6034863564137378688,TYC7338-1156-1
6242853303975004032,TYC6213-12-1
6243839046209540864,TYC6213-1122-1
5993268150229264512,HD_145357
5993268150229262848,HD_145357
6245692620954228864,HD_145554
6245694751258010752,HD_145631
6042205763488144768,2MASS_J16145918-2750230
5935598765341599104,HD_145972
5997300987069075968,HD_146181
5821125860988362752,HD_145689
5989838051902961024,TYC8315-123-1
6039266287870021248,HD_146606
6039093144853104128,d_Sco
6244295760151546624,HD_146897
6050496459111584384,HD_147137
6050172068822858624,HD_147196
6038066858123563008,HD_147594
6052280004416392320,V2505_Oph
6019522903028700416,TYC7358-263-1
1412260533406913152,HD_151044
4326683743996162432,HD_150697
4130478810297672064,HD_151376
1635375460141804800,h_Dra
5917719984738398848,HD_153053
5963157749401339648,TYC8327-1661-1
5952702871347477120,TYC8341-414-1
4569194055841164160,73_Her
4122561575010929152,HD_157587
5960082277995425792,HD_323410
1435825026095907072,HR_6511
4373966832796402048,HD_158352
4595353602128483072,78_Her
4493602768870654336,HR_6532
4170156100434293120,HD_159170
5921246427739258112,HD_159492
4060180026897207552,V2384_Oph
5958109681059207680,TYC7889-407-1
4472097420944264192,gam_Oph
4473968166959087104,HD_162917
